Innuici - Społeczeństwo zbieracko-łowieckie:	grupa rdzennych ludów obszarów arktycznych i subarktycznych Grenlandii, Kanady, Alaski i Syberii;
Buszmeni - Społeczeństwo zbieracko-łowieckie:	jeden z najstarszych ludów świata. Obecnie liczą około 82 tys. osób, zamieszkując tereny Namibii, Angoli, Botswany.
Beduini - społeczeństwo nomadyczne	koczownicze plemiona krajów arabskich, Afryki Północnej i Bliskiego Wschodu;
Tuaregowie - społeczeństwo nomadyczne	nomadzi, podróżują po pustyni i jej obrzeżach, zajmują się hodowlą bydła i kóz, wytwarzaniem biżuterii i obsługą ruchu turystycznego.
Cyfrowy nomada	osoba, która często zmienia miejsce swojego pobytu, ponieważ wykonuje pracę przy wykorzystaniu nowoczesnych technologii cyfrowych i nie jest przywiązana do jednego miejsca zamieszkania.
Globalizacja	proces zmian w społeczeństwach, których skutkuje tym, że ludzi z różnych regionów świata coraz więcej łączy, ułatwiona jest komunikacja i współpraса.
Urbanizacja	koncentracja ludności na obszarach miejskich; wzrost liczby ludności miejskiej.
Społeczeństwo postindustrialne - społeczeństwo poprzemysłowe.	Głównym źródłem utrzymania tego typu społeczeństwa nie jest produkcja przemysłowa, polegająca na wytwarzaniu przedmiotów, lecz wytwarzanie i przetwarzanie informacji oraz usług.
społeczeństwo otwarte	Wyróżnikiem społeczeństwa otwartego jest możliwość zmiany elit politycznych w sposób pozbawiony przemocy, w przeciwieństwie do społeczeństwa zamkniętego, w którym do zmiany rządu dochodzi w wyniku rewolucji lub zamachu stanu, Cechą charakterystyczną społeczeństwa otwartego jest ruchliwość społeczna. Możliwości awansu zawodowego i społecznego, w tym przechodzenie z jednej warstwy społecznej do drugiej, nie są niczym krępowane, a wręcz pochwalane i oczekiwane. To również społeczeństwo, gdzie dominuje postawa tolerancji i poszanowania dla różnorodności.
społeczeństwo konsumpcyjne	połeczeństwo konsumpcyjne to społeczeństwo nastawione na zdobywanie dóbr materialnych i usług, często w sposób nadmierny. Nabywanie to jest nieusprawiedliwione rzeczywistymi potrzebami oraz kosztami ekologicznymi, społecznymi czy indywidualnymi. Społeczeństwo konsumpcyjne charakteryzuje:  łatwy dostęp do dóbr i usług; szybka wymiana rzeczy na nowe (ubrania, elektronika), zwiększenie się liczby centrów handlowych, nazywanych „świątyniami konsumpcji",  wzrost pozycji konsumenta, który często poddawany jest manipulacjom.
społeczeństwo masowe	Społeczeństwo masowe to typ współczesnego społeczeństwa biernych odbiorców kultury. Społeczeństwo masowe charakteryzuje: amorficzność (bezkształtność, nieuporządkowanie), rozkład więzi międzyludzkich, zanik wartości wyższych, konformizm, podatność na manipulację przy użyciu propagandy i reklamy.
społeczeństwo informacyjne	połeczeństwo informacyjne to społeczeństwo korzystające z rozwiniętych technologicznie środków gromadzenia, wyszukiwania, przetwarzania informacji oraz komunikowania się. W społeczeństwie informacyjnym technologia informatyczna wykorzystywana jest niemal w każdej dziedzinie życia społecznego i osobistego. Społeczeństwo, w którym towarem jest informacja traktowana jako szczególne dobro niematerialne, równoważne lub cenniejsze nawet od dóbr materialnych. Społeczeństwo informacyjne charakteryzuje: wysoko rozwinięty sektor usług, przede wszystkim sektor usług nowoczesnych (bankowość, finanse, telekomunikacja, informatyka); wysoki poziom skolaryzacji społeczeństwa; przetwarzanie informacji jako częsta podstawa pracy i sposobu zarabiania.
Jak scharakteryzować wiejską społeczność tradycyjną	Społeczność tę, zamieszkującą tereny wiejskie, wyróżnia silna więź wspólnotowa i poczucie odrębności. Znaczącą rolę odgrywają relacje między członkami rodziny a także relacje z sąsiedztwem, które dodatkowo wzmacnia wspólna praca. Istotne jest także pielęgnowanie tradycji i norm. Charakteryzują tę społeczność następujące cechy: populacja jest jednorodna, stosunkowo mała; główne zajęcie społeczności wiejskiej to praca na roli - ziemia jako podstawowy środek utrzymania; ma silne poczucie odrębności, silne więzi między wspólnotą; ważne jest dla niej kultywowanie tradycji oraz normy zwyczajowe (folklor); istotną rolę odgrywają wierzenia i Kościół; cechuje ją niechęć do gwałtownego postępu; duża rola mechanizmów kontroli nieformalnej.
Czym jest dobro wspólne?	Dobro wspólne (łac. bonum commune) to taka wartość, która służy wszystkim członkom danej wspólnoty i umożliwia im pełny rozwój. Oznacza ono warunki życia społecznego, dzięki którym jednostki oraz grupy mogą skutecznie i godnie realizować swoje cele. Nie jest to więc suma dóbr indywidualnych, ale wspólny fundament, z którego korzystają wszyscy. Dobro wspólne: jest podstawą istnienia i funkcjonowania każdej wspólnoty, wymaga współpracy, odpowiedzialności i poszanowania praw innych, nie należy tylko do jednostek, lecz obejmuje całość wspólnoty.
Jakie są 3 najważniejsze sfery obowiązków jednostki wobec wspólnoty	poszanowanie prawa i norm - przestrzeganie przepisów, regulaminów, zasad współżycia; uczestnictwo obywatelskie - udział w wyborach, konsultacjach, samorządzie; solidarność i pomoc – wolontariat, wsparcie słabszych, troska o dobro wspólne.
Indywidualizm	to pogląd i sposób życia, w którym najważniejsza jest jednostka, jej prawa, wolność, niezależność i osobiste cele.
Kolektywizm	w którym najważniejsza jest grupa (rodzina, wspólnota, naród), a jednostka podporządkowuje się dobru wspólnemu.
Indywidualizm i kolektywizm	można ująć w dwóch perspektywach: psychospołecznej (jak jednostka myśli, czuje i działa w relacjach) oraz instytucjonalnej (jak organizowane są społeczeństwa, instytucje i systemy).
Jakie są cechy indywidualizmu w aspekcie psychospołecznym	Podkreśla autonomię jednostki, jej prawa i wolność wyboru. Tożsamość oparta jest głównie na ,„ja", a nie na grupie. Relacje często mają charakter kontraktowy (partnerstwo, dobrowolna współpraca), a nie obowiązkowy. Sukces i porażka są postrzegane jako efekt osobistych działań.
Jakie są cechy indywidualizmu w aspekcie instytucjonalnym	Instytucje akcentują wolność jednostki, prawa człowieka, równe szanse. Silny nacisk na demokrację liberalną, pluralizm, prawa obywatelskie. Systemy gospodarcze wspierają konkurencję, przedsiębiorczość i własność prywatną. Edukacja i prawo pracy promują samodzielność i indywidualne osiągnięcia.
Jakie są cechy kolektywizmu w aspekcie psychospołecznym	Tożsamość jednostki jest mocno związana z grupą (rodzina, wspólnota, naród). Wysoka wartość przypisywana lojalności, solidarności i obowiązkom wobec innych. Relacje są trwałe i oparte na więzi, często ważniejsze niż indywidualne preferencje. Sukces i porażka interpretowane są w kategoriach grupowych.
Jakie są cechy kolektywizmu w aspekcie instytucjonalnym	Instytucje stawiają na dobro wspólnoty ponad interesem jednostki. W systemach politycznych może to przyjmować formy państwowego interwencjonizmu, centralnego planowania czy kolektywnej własności. Prawo i regulacje podkreślają obowiązki wobec wspólnoty (np. obowiązkowa służba, praса na rzecz państwa). Edukacja i wychowanie nastawione są na współpracę, konformizm i wspólnotowe wartości.
Przykłady kulturowe krajów indywidualistycznych:	Stany Zjednoczone, Kanada, Australia, Europa Zachodnia (np. Wielka Brytania, Holandia, Niemcy). W tych społeczeństwach ceni się samodzielność, niezależność, wolność osobistą. Typowy przykład: młodzi ludzie wcześnie się wyprowadzają z domu, sami decydują o swoim życiu, a sukces zawodowy traktuje się jako ich osobistą zasługę.
Przykłady kulturowe krajów kolektywistycznych:	Chiny, Japonia, Korea Południowa, kraje arabskie, Ameryka Łacińska, Afryka. Tutaj większą wagę przykłada się do rodziny, wspólnoty i harmonii grupy. Typowy przykład: w wielu krajach azjatyckich decyzje (np. wybór studiów, pracy, a czasem nawet małżeństwa) podejmowane są w porozumieniu z rodziną, a sukces jednostki traktuje się jako sukces całej rodziny.
Czym jest tolerancja?	Tolerancja jest to termin oznaczający postawę zgody na wyznawanie i głoszenie poglądów oraz wierzeń, z którymi się nie zgadzamy, jak i praktykowanie sposobu życia, którego zdecydowanie nie aprobujemy, a więc zgody na to, aby społeczność, do której przynależymy, była różnorodna w aspektach dla nas istotnych.
Czym jest akceptacja?	'Tolerancja' w swym pierwotnym, łacińskim, znaczeniu oznaczała 'cierpliwą wytrwałość'. W tym ujęciu znoszę cierpliwie, bez agresji, to co dla mnie jest 'inne', z czym się nie utożsamiam. Z kolei łacińska 'akceptacja' to 'przyjmowanie', czyli włączenie w swoje 'Ja', utożsamianie się z czymś lub kimś.
Czym jest stygmatyzacja?	Stygmatyzacja to proces nadawania określeń dotyczących zachowania jednostkom, grupom społecznym lub kategoriom społecznym, w wyniku czego przyjmują one nadane im cechy i zaczynają działać zgodnie z przypisanymi im etykietami. Stygmatyzacja to inaczej właśnie etykietowanie, naznaczanie. Osoba może uzyskać etykietę np. poprzez swoją przeszłość, kolor skóry, orientację. Osoby naznaczone „etykietą" tracą poczucie własnej wartości, mechanizm „samospełniającej się przepowiedni".
Negocjacje	to dwustronny proces komunikowania się, którego celem jest osiągnięcie porozumienia, gdy przynajmniej jedna strona nie zgadza się z daną opinią lub z danym rozwiązaniem sytuacji.
Mediacje	to metoda rozwiązywania sporów, w której osoba trzecia pomaga stronom we wzajemnej komunikacji, określeniu interesów i kwestii do dyskusji oraz dojściu do wspólnie akceptowalnego konsensu.
Arbitraż	jest to metoda rozwiązywania sporu, polegająca na rozstrzyganiu konfliktu w sposób polubowny przez osobę lub osoby wskazane przez każdą ze stron i według szczególnych procedur.
Ruchliwość pionowa	zwana jest inaczej wertykalną. Ruchliwością pionową nazywamy możliwość przemieszczenia się jednostek lub całych grup społecznych w hierarchii. Możliwość uzyskania wyższej pozycji określamy jako awans społeczny (np. osoba bezrobotna dostała pracę), natomiast spadek w hierarchii to degradacja społeczna (popełnienie przestępstwa i trafienie do zakładu karnego).
